[2018-01-03 10:15:02.558][INF][MS:5260:72] MSCSetScreenCallback out
[2018-01-03 10:15:02.559][DBG][Main:5260:73] Init model:NOTICE
[2018-01-03 10:15:02.559][DBG][Main:5260:74] Init model:ROLLCALL
[2018-01-03 10:15:02.559][DBG][Main:5260:75] Init model:IM
[2018-01-03 10:15:02.559][DBG][Main:5260:76] Init model:NRTCOMM
[2018-01-03 10:15:02.559][DBG][Main:5260:77] Init model:RECORD
[2018-01-03 10:15:02.559][DBG][Main:5260:78] Init model:BROADCAST
[2018-01-03 10:15:02.560][DBG][Audio:5260:79] WaitVoiceEngInit...
[2018-01-03 10:15:02.684][DBG][Audio:4424:80] AudioPrint level:0x1000, Windows Core Audio APIs will be utilized
[2018-01-03 10:15:02.692][DBG][Audio:4424:81] AudioPrint level:0x1000, CRVE_Init out
[2018-01-03 10:15:02.692][DBG][Audio:4424:82] voiceEng init...2
[2018-01-03 10:15:02.692][DBG][Audio:4424:83] AudioPrint level:0x1000, CRVE_CreateChannel in
[2018-01-03 10:15:02.693][DBG][Audio:4424:84] AudioPrint level:0x1000, CRVE_CreateChannel out
[2018-01-03 10:15:02.693][DBG][Audio:4424:85] AudioPrint level:0x1000, CRVE_SetSpeakerVolume in
[2018-01-03 10:15:02.693][DBG][Audio:4424:86] AudioPrint level:0x1000, CRVE_SetSpeakerVolume out
[2018-01-03 10:15:02.693][DBG][Audio:4424:87] voiceEng init...end
[2018-01-03 10:15:02.694][DBG][Audio:5260:88] WaitVoiceEngInit...finished
[2018-01-03 10:15:02.694][DBG][RateControl:5260:89] Upload start(bps:100000000)...
[2018-01-03 10:15:02.694][DBG][RateControl:5260:90] Download start(bps:100000000)...
[2018-01-03 10:15:02.695][DBG][MeetingSDK:5260:91] sdk file path: C:\Users\admin\Desktop\web\demo\examples\RecordDemo(web)\home\
[2018-01-03 10:15:48.433][DBG][MeetingSDK:5260:92] CloudroomVideoSDK::uninit...
[2018-01-03 10:15:48.433][DBG][MeetingSDK:5260:93] CloudroomMeetingSDK uninit...
[2018-01-03 10:15:48.433][DBG][MeetingSDK:5260:94] CloudroomMeetingSDK slot_unInit...
[2018-01-03 10:15:48.433][DBG][MeetMgr:5260:95] LoginMgr unInit...
[2018-01-03 10:15:48.433][DBG][MeetMgr:5260:96] begin uninit.
