[2018-02-08 14:58:07.995][DBG][Video:12024:184] rslt batSubVideo: 1.1(CC92BFBC0D76907E96A29567F3E240A6).0;
[2018-02-08 14:58:07.995][DBG][Video:12024:185] finallly batSubVideo: 1.1(CC92BFBC0D76907E96A29567F3E240A6):0;
[2018-02-08 14:58:08.002][DBG][Video:12024:186] org batSubVideo: 1.1(CC92BFBC0D76907E96A29567F3E240A6).0;
[2018-02-08 14:58:08.002][DBG][Video:12024:187] rslt batSubVideo: 1.1(CC92BFBC0D76907E96A29567F3E240A6).0;
[2018-02-08 14:58:08.002][DBG][Video:12024:188] finallly batSubVideo: 1.1(CC92BFBC0D76907E96A29567F3E240A6):0;
[2018-02-08 14:58:08.008][DBG][Video:12024:189] org batSubVideo: 1.1(CC92BFBC0D76907E96A29567F3E240A6).0;
[2018-02-08 14:58:08.008][DBG][Video:12024:190] rslt batSubVideo: 1.1(CC92BFBC0D76907E96A29567F3E240A6).0;
[2018-02-08 14:58:08.008][DBG][Video:12024:191] finallly batSubVideo: 1.1(CC92BFBC0D76907E96A29567F3E240A6):0;
[2018-02-08 14:58:08.019][DBG][Video:12024:192] org batSubVideo: 1.1(CC92BFBC0D76907E96A29567F3E240A6).0;
[2018-02-08 14:58:08.019][DBG][Video:12024:193] rslt batSubVideo: 1.1(CC92BFBC0D76907E96A29567F3E240A6).0;
[2018-02-08 14:58:08.019][DBG][Video:12024:194] finallly batSubVideo: 1.1(CC92BFBC0D76907E96A29567F3E240A6):0;
[2018-02-08 14:58:08.024][DBG][Video:12024:195] org batSubVideo: 1.1(CC92BFBC0D76907E96A29567F3E240A6).0;
[2018-02-08 14:58:08.024][DBG][Video:12024:196] rslt batSubVideo: 1.1(CC92BFBC0D76907E96A29567F3E240A6).0;
[2018-02-08 14:58:08.024][DBG][Video:12024:197] finallly batSubVideo: 1.1(CC92BFBC0D76907E96A29567F3E240A6):0;
[2018-02-08 14:58:08.036][DBG][Video:12024:198] org batSubVideo: 1.1(CC92BFBC0D76907E96A29567F3E240A6).0;
[2018-02-08 14:58:08.036][DBG][Video:12024:199] rslt batSubVideo: 1.1(CC92BFBC0D76907E96A29567F3E240A6).0;
[2018-02-08 14:58:08.036][DBG][Video:12024:200] finallly batSubVideo: 1.1(CC92BFBC0D76907E96A29567F3E240A6):0;
[2018-02-08 14:58:08.041][DBG][Video:12024:201] org batSubVideo: 1.1(CC92BFBC0D76907E96A29567F3E240A6).0;
[2018-02-08 14:58:08.041][DBG][Video:12024:202] rslt batSubVideo: 1.1(CC92BFBC0D76907E96A29567F3E240A6).0;
[2018-02-08 14:58:08.041][DBG][Video:12024:203] finallly batSubVideo: 1.1(CC92BFBC0D76907E96A29567F3E240A6):0;
[2018-02-08 14:58:08.050][DBG][Video:12024:204] org batSubVideo: 1.1(CC92BFBC0D76907E96A29567F3E240A6).0;
[2018-02-08 14:58:08.050][DBG][Video:12024:205] rslt batSubVideo: 1.1(CC92BFBC0D76907E96A29567F3E240A6).0;
[2018-02-08 14:58:08.050][DBG][Video:12024:206] finallly batSubVideo: 1.1(CC92BFBC0D76907E96A29567F3E240A6):0;
[2018-02-08 14:58:08.056][DBG][Video:12024:207] org batSubVideo: 1.1(CC92BFBC0D76907E96A29567F3E240A6).0;
[2018-02-08 14:58:08.056][DBG][Video:12024:208] rslt batSubVideo: 1.1(CC92BFBC0D76907E96A29567F3E240A6).0;
[2018-02-08 14:58:08.056][DBG][Video:12024:209] finallly batSubVideo: 1.1(CC92BFBC0D76907E96A29567F3E240A6):0;
[2018-02-08 14:58:08.066][DBG][Video:12024:210] org batSubVideo: 1.1(CC92BFBC0D76907E96A29567F3E240A6).0;
[2018-02-08 14:58:08.066][DBG][Video:12024:211] rslt batSubVideo: 1.1(CC92BFBC0D76907E96A29567F3E240A6).0;
[2018-02-08 14:58:08.066][DBG][Video:12024:212] finallly batSubVideo: 1.1(CC92BFBC0D76907E96A29567F3E240A6):0;
